evidence_domain,activity_tercile,seed,n_rows,macro_f1,accuracy,dummy_macro_f1,delta_vs_dummy,below_random_prior,note
guarded_walkforward,all,101,325967,0.5081927330238876,0.5106253086968926,0.500847332983877,0.007345400040010608,False,
guarded_walkforward,all,202,325967,0.5061941719344164,0.5080974454469317,0.5008163673264173,0.0053778046079990816,False,
guarded_walkforward,all,seed_mean,325967,0.5071934524791519,0.5093613770719121,0.5008318501551472,0.006361602324004845,False,Cross-era guarded activity-tercile conditional map; measure-only re-aggregation of the frozen V2.1 dumps (run 20260618_063559_889276).
guarded_walkforward,low,101,95310,0.5436985827980707,0.5482740530899171,0.5019077573019891,0.041790825496081596,False,
guarded_walkforward,low,202,95310,0.5408501801182848,0.545871367117826,0.5009814238105612,0.039868756307723574,False,
guarded_walkforward,low,seed_mean,95310,0.5422743814581777,0.5470727101038715,0.5014445905562752,0.040829790901902585,False,
guarded_walkforward,mid,101,111178,0.5072187342533008,0.5095972224720718,0.500999455843953,0.006219278409347773,False,
guarded_walkforward,mid,202,111178,0.5045587209102728,0.5066469985068989,0.4996223645059148,0.004936356404357967,False,
guarded_walkforward,mid,seed_mean,111178,0.5058887275817867,0.5081221104894853,0.5003109101749339,0.00557781740685287,False,
guarded_walkforward,high,101,119479,0.4803842047007536,0.4815490588304221,0.49972516961465435,-0.01934096491390075,True,
guarded_walkforward,high,202,119479,0.47897438306771745,0.4793143564977946,0.5017110703104767,-0.022736687242759235,True,
guarded_walkforward,high,seed_mean,119479,0.4796792938842355,0.48043170766410837,0.5007181199625655,-0.021038826078329992,True,
