scope,slice,seed,n_rows,up_rate,dummy_macro_f1,candidate_macro_f1,delta_vs_dummy,note
period,wf_p1,101,43097,0.5127271039747546,0.5008524876261675,0.512427996491611,0.011575508865443451,
period,wf_p1,202,43097,0.5127271039747546,0.5007207931723039,0.5075897123763972,0.006868919204093271,
period,wf_p1,seed_mean,43097,0.5127271039747546,0.5007866403992357,0.510008854434004,0.009222214034768361,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
period,wf_p2,101,45409,0.4953203109515735,0.49840333793243885,0.513049507046698,0.0146461691142592,
period,wf_p2,202,45409,0.4953203109515735,0.500583253176238,0.5099658489390372,0.009382595762799206,
period,wf_p2,seed_mean,45409,0.4953203109515735,0.4994932955543384,0.5115076779928676,0.012014382438529203,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
period,wf_p3,101,43664,0.5185965555148406,0.5009174944224573,0.5071192360384071,0.006201741615949885,
period,wf_p3,202,43664,0.5185965555148406,0.49838742140671344,0.507054174207069,0.00866675280035556,
period,wf_p3,seed_mean,43664,0.5185965555148406,0.49965245791458535,0.5070867051227381,0.007434247208152722,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
period,wf_p4,101,46396,0.5065522889904303,0.5055384294612035,0.5017132121366157,-0.0038252173245878485,
period,wf_p4,202,46396,0.5065522889904303,0.5029593128568393,0.5016359207883795,-0.0013233920684597722,
period,wf_p4,seed_mean,46396,0.5065522889904303,0.5042488711590214,0.5016745664624975,-0.0025743046965238103,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
period,wf_p5,101,44842,0.509410820213193,0.5006483981595522,0.5056538219453136,0.005005423785761409,
period,wf_p5,202,44842,0.509410820213193,0.4999700748440476,0.506947245612565,0.006977170768517393,
period,wf_p5,seed_mean,44842,0.509410820213193,0.5003092365017999,0.5063005337789392,0.005991297277139401,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
period,wf_p6,101,47242,0.5171034249185047,0.5005832737323285,0.5011083480791959,0.0005250743468674379,
period,wf_p6,202,47242,0.5171034249185047,0.5015984343875095,0.49839919849382786,-0.003199235893681651,
period,wf_p6,seed_mean,47242,0.5171034249185047,0.501090854059919,0.4997537732865119,-0.0013370807734071066,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
period,wf_p7,101,55317,0.5268723900428439,0.4989601480468254,0.5090849489846863,0.010124800937860834,
period,wf_p7,202,55317,0.5268723900428439,0.5009691589653176,0.5062743013623436,0.005305142397026064,
period,wf_p7,seed_mean,55317,0.5268723900428439,0.4999646535060715,0.507679625173515,0.007714971667443449,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
activity_tercile,low,101,95310,0.5234497954044697,0.5019077573019891,0.5436985827980707,0.041790825496081596,
activity_tercile,low,202,95310,0.5234497954044697,0.5009814238105612,0.5408501801182848,0.039868756307723574,
activity_tercile,low,seed_mean,95310,0.5234497954044697,0.5014445905562752,0.5422743814581777,0.040829790901902585,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
activity_tercile,mid,101,111178,0.5150299519689148,0.500999455843953,0.5072187342533008,0.006219278409347773,
activity_tercile,mid,202,111178,0.5150299519689148,0.4996223645059148,0.5045587209102728,0.004936356404357967,
activity_tercile,mid,seed_mean,111178,0.5150299519689148,0.5003109101749339,0.5058887275817867,0.00557781740685287,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
activity_tercile,high,101,119479,0.5021970388101675,0.49972516961465435,0.4803842047007536,-0.01934096491390075,
activity_tercile,high,202,119479,0.5021970388101675,0.5017110703104767,0.47897438306771745,-0.022736687242759235,
activity_tercile,high,seed_mean,119479,0.5021970388101675,0.5007181199625655,0.4796792938842355,-0.021038826078329992,Guarded-era regime composition + class balance; measure-only re-aggregation of frozen V2.1 dumps (run 20260618_063559_889276).
