activity_tercile,seed,n_rows,macro_f1,accuracy,aurc,e_aurc,augrc,full_coverage_risk,delta_vs_dummy,mde_vs_dummy,delta_clears_mde
all,101,151064,0.5176382317745896,0.5192765979981995,0.4717343929558991,0.3313010097553587,0.23703460003319313,0.4807234020018005,0.0162519034862289,0.005026706458725699,True
all,202,151064,0.5164126344101891,0.5190846263835196,0.4696963274267933,0.32913710553289033,0.2367101443255,0.4809153736164804,0.0175182652063039,0.004616016392914099,True
all,seed_mean,151064,0.5170254330923894,0.5191806121908595,0.4707153601913462,0.3302190576441245,0.23687237217934656,0.48081938780914046,0.0168850843462664,0.004821361425819899,True
low,101,44144,0.5603963115424718,0.5632249003262052,0.404910146093605,0.2914641452540936,0.20731704107917398,0.4367750996737948,0.053008773560716,,
low,202,44144,0.5537764903995455,0.5593059079376586,0.41306374402224716,0.29735423212579104,0.21061122947604602,0.44069409206234145,0.055662526117244,,
low,seed_mean,44144,0.5570864009710086,0.5612654041319318,0.4089869450579261,0.2944091886899423,0.20896413527760999,0.4387345958680681,0.054335649838979996,,
mid,101,51572,0.5187590161175031,0.5202629333746994,0.46524014622280546,0.32544913080845383,0.2354194299531126,0.4797370666253006,0.0185522441856595,,
mid,202,51572,0.5189544578466947,0.5212518420848522,0.462721411073944,0.32357563966280456,0.23451023598411855,0.4787481579151478,0.0196867672899081,,
mid,seed_mean,51572,0.5188567369820989,0.5207573877297758,0.4639807786483747,0.3245123852356292,0.2349648329686156,0.4792426122702242,0.0191195057377838,,
high,101,55348,0.48234846318540314,0.4833056298330563,0.5258239346402291,0.3605393449873876,0.261285228354478,0.5166943701669438,-0.0153468098778524,,
high,202,55348,0.4837104361324147,0.4849859073498591,0.5195071450176567,0.3554413930171913,0.2591787356749611,0.515014092650141,-0.015436906719709,,
high,seed_mean,55348,0.4830294496589089,0.4841457685914577,0.5226655398289429,0.3579903690022894,0.26023198201471953,0.5158542314085424,-0.0153918582987807,,
