claim_id,evidence_domain,is_limitation,supporting_run_id_key,supporting_run_id,supporting_artifact,statement
C1_leakage_control_verified,official_validation,False,stage04,20260619_082125_765984,04_diagnostics_report.json,"Leakage control is verified (causal/day-local features, fit-only normalization, disjoint early-stopping tail, day-aligned period boundaries)."
C2_sentinel_collapses,official_validation,False,stage04,20260619_082125_765984,04_sentinel_summary.csv,"A within-day label-shuffle and a time-reversed sentinel collapse the same-row delta toward zero, an empirical leakage negative control."
C3_validation_met_criteria,official_validation,False,stage03,20260610_133305_716174,03_decision_record.json,The frozen primary candidate met the predeclared official validation-readout criteria (validation-only evidence).
C4_guarded_met_criteria,guarded_walkforward,False,v2_1,20260618_063559_889276,v2_1_decision_record.json,The predeclared TCN primary candidate met the guarded stability criteria in a historically-contacted walk-forward readout.
C5_families_exceed_dummy,guarded_walkforward,False,v2_1,20260618_063559_889276,v2_1_comparison_table.csv,All four model families exceeded the same-row dummy baseline on mean macro-F1 in the guarded readout.
C6_no_winning_model,guarded_walkforward,False,v2_1,20260618_063559_889276,v2_1_decision_record.json,LightGBM had the numerically highest mean delta; the route selects no winning model.
C7_guarded_not_unseen,guarded_walkforward,False,v2_1,20260618_063559_889276,v2_1_decision_record.json,The guarded walk-forward evidence is historically-contacted and must not be treated as an unseen-data result.
L1_activity_conditional,official_validation,True,stage04,20260619_082125_765984,04_robustness_slices.csv,"The edge is concentrated in low-activity (low-movement) bars and is below the balanced random prior on the highest-activity bars; 'activity' is a per-day eligible-row-count proxy (a no-trade-band proxy), not realized volume or liquidity."
L2_macro_f1_not_economic,guarded_walkforward,True,v2_1,20260618_063559_889276,v2_1_decision_record.json,Evaluation is classification-only; no economic (P&L / cost / Sharpe) analysis is performed or claimed. A small macro-F1 delta is not evidence of tradeability.
L3_two_seeds,guarded_walkforward,True,v2_1,20260618_063559_889276,v2_1_decision_record.json,"Stability rests on 2 seeds, which is thin for seed-to-seed variance; the primary uncertainty estimate is a per-trading-day block bootstrap."
L4_v1_historical_contact,guarded_walkforward,True,v2_1,20260618_063559_889276,v2_1_decision_record.json,"The V1 route historically contacted the post-2017 segment, so the walk-forward readout is guarded and historically-contacted, not an unseen-data result."
